
5-grams:
('attorney', 'general', 'statement', 'on', 'letitia'): 7
('general', 'statement', 'on', 'letitia', 'james'): 7
('statement', 'on', 'letitia', 'james', 'flip'): 7
('on', 'letitia', 'james', 'flip', 'flop'): 7
('captains', 'endowment', 'association', 'endorses', 'michael'): 7
('endowment', 'association', 'endorses', 'michael', 'henry'): 7
('association', 'endorses', 'michael', 'henry', 'for'): 7
('henry', 'for', 'attorney', 'general', 'first'): 7
('for', 'attorney', 'general', 'first', 'ad'): 7
('attorney', 'general', 'first', 'ad', 'begins'): 7
('officers', 'union', 'council', '82', 'endorses'): 7
('union', 'council', '82', 'endorses', 'michael'): 7
('council', '82', 'endorses', 'michael', 'henry'): 7
('82', 'endorses', 'michael', 'henry', 'for'): 7
('statement', 'from', 'ag', 'candidate', 'michael'): 7
('from', 'ag', 'candidate', 'michael', 'henry'): 7
('candidate', 'michael', 'henry', 'on', 'bail'): 7
('michael', 'henry', 'on', 'bail', 'reform'): 7
('henry', 'on', 'bail', 'reform', 'release'): 7
('on', 'bail', 'reform', 'release', 'of'): 7
('bail', 'reform', 'release', 'of', 'buffalo'): 7
('reform', 'release', 'of', 'buffalo', 'man'): 7
('release', 'of', 'buffalo', 'man', 'wanted'): 7
('of', 'buffalo', 'man', 'wanted', 'in'): 7
('buffalo', 'man', 'wanted', 'in', 'homicide'): 7
('man', 'wanted', 'in', 'homicide', 'case'): 7
('press', 'release', 'new', 'poll', 'shows'): 7
('release', 'new', 'poll', 'shows', 'attorney'): 7
('general', 'candidate', 'michael', 'henry', 'with'): 7
('candidate', 'michael', 'henry', 'with', 'lead'): 7
('michael', 'henry', 'with', 'lead', 'over'): 7
('henry', 'with', 'lead', 'over', 'letitia'): 7
('with', 'lead', 'over', 'letitia', 'james'): 7
('county', 'sheriff', 's', 'coba', 'endorses'): 7
('sheriff', 's', 'coba', 'endorses', 'michael'): 7
('s', 'coba', 'endorses', 'michael', 'henry'): 7
('coba', 'endorses', 'michael', 'henry', 'for'): 7
('conference', 'of', 'new', 'york', 'endorses'): 7
('of', 'new', 'york', 'endorses', 'michael'): 7
('new', 'york', 'endorses', 'michael', 'henry'): 7
('york', 'endorses', 'michael', 'henry', 'for'): 7
('ambassador', 'to', 'the', 'dominican', 'republic'): 7
('new', 'york', 'state', 'troopers', 'pba'): 7
('michael', 'henry', 'defeating', 'letitia', 'james'): 7
('the', 'arrest', 'of', 'lt', 'governor'): 7
('the', 'nys', 'law', 'enforcement', 'officers'): 7
('new', 'york', 'ny', 'new', 'york'): 7
('york', 'ny', 'new', 'york', 'state'): 7
('ny', 'new', 'york', 'state', 'attorney'): 7
('letitia', 'james', 'in', 'the', 'race'): 7
('reserved', 'for', 'immediate', 'release', 'september'): 7
('put', 'their', 'lives', 'on', 'the'): 7
('their', 'lives', 'on', 'the', 'line'): 7
('be', 'on', 'wg', 'y', 'mornings'): 7
('on', 'wg', 'y', 'mornings', 'with'): 7
('in', 'rt', 'michael', 'henry', '4ag'): 7
('rt', 'michael', 'henry', '4ag', 'how'): 7
('t', 'rt', 'michael', 'henry', '4ag'): 7
('has', 'endorsed', 'my', 'campaign', 'for'): 7
('michael', 'henry', '4ag', 'it', 'was'): 7
('rt', 'michael', 'henry', '4ag', 'wishing'): 7
('your', 'support', 'gone', 'rt', 'michael'): 7
('support', 'gone', 'rt', 'michael', 'henry'): 7
('the', 'son', 'of', 'a', 'retired'): 6
('former', 'us', 'ambassador', 'to', 'the'): 6
('us', 'ambassador', 'to', 'the', 'dominican'): 6
('press', 'release', 'nys', 'attorney', 'general'): 6
('release', 'nys', 'attorney', 'general', 'candidate'): 6
('press', 'release', 'ag', 'candidate', 'michael'): 6
('release', 'ag', 'candidate', 'michael', 'henry'): 6
('on', 'letitia', 'james', 'to', 'return'): 6
('letitia', 'james', 'to', 'return', 'corruption'): 6
('james', 'to', 'return', 'corruption', 'cash'): 6
